name,date,prv,open,high,low,price,volume,daily_volume,par,ceiling,floor,chg_amt,chg_pct
DTAC,2022-05-11,43.75,43.50,43.75,42.75,43.00,9394074,406308.93,2.00,56.75,30.75,-0.75,-1.71%
EA,2022-05-11,83.50,83.50,84.50,81.50,82.75,12670214,1050255.13,0.10,108.50,58.50,-0.75,-0.90%
EASTW,2022-05-11,6.75,6.75,6.80,6.70,6.70,861741,5816.20,1.00,8.75,4.74,-0.05,-0.74%
ECL,2022-05-11,2.42,2.42,2.42,2.34,2.40,2284801,5418.98,1.00,3.14,1.70,-0.02,-0.83%
EGATIF,2022-05-11,8.75,8.75,8.80,8.75,8.75,463071,4062.41,9.47,11.30,6.15,0.00,0.00%
EGCO,2022-05-11,162.50,164.50,164.50,160.50,161.00,1248256,201341.33,10.00,211.00,114.00,-1.50,-0.92%
EPG,2022-05-11,10.20,10.20,10.20,10.00,10.10,9308754,94028.61,1.00,13.20,7.15,-0.10,-0.98%
ESSO,2022-05-11,9.35,9.30,9.40,9.25,9.30,6845990,63821.00,4.93,12.10,6.55,-0.05,-0.53%
FORTH,2022-05-11,41.75,41.00,41.50,39.25,41.00,3070755,124306.90,0.50,54.25,29.25,-0.75,-1.80%
FSMART,2022-05-11,20.20,19.90,19.90,18.80,19.30,10070991,194407.16,0.50,26.25,14.20,-0.90,-4.46%
GC,2022-05-11,5.65,5.55,5.70,5.45,5.45,493244,2732.22,0.50,7.30,3.96,-0.20,-3.54%
GFPT,2022-05-11,14.30,14.40,14.50,14.20,14.40,7919530,113543.96,1.00,18.50,10.10,+0.10,+0.70%
GGC,2022-05-11,13.70,13.80,14.20,13.80,14.00,1800621,25249.51,9.50,17.80,9.60,+0.30,+2.19%
GLOBAL,2022-05-11,21.60,21.50,21.70,21.30,21.40,5330973,114694.67,1.00,28.00,15.20,-0.20,-0.93%
GPSC,2022-05-11,61.25,61.25,61.75,61.00,61.50,9057488,555265.55,10.00,79.50,43.00,+0.25,+0.41%
GRAMMY,2022-05-11,11.30,10.90,11.20,10.50,10.60,69224,739.47,1.00,14.60,7.95,-0.70,-6.19%
