Name,Open,High,Low,Close,ChgAmt,ChgPct,Bid,Offer,Volume,Value(000)
PTTEP,148.00,153.00,148.00,151.00,+3.00,+2.03,150.50,151.00,12456055,1881557.12
PTTGC,49.00,50.75,48.75,50.00,+1.25,+2.56,50.00,50.25,21098521,1057421.09
QH,2.22,2.24,2.22,2.24,+0.02,+0.90,2.22,2.24,11462065,25535.86
RATCH,44.25,44.50,44.00,44.00,-0.50,-1.12,44.00,44.25,4085716,180786.93
RBF,17.20,17.50,17.10,17.50,+0.40,+2.34,17.20,17.50,7969367,138216.29
RCL,45.00,45.25,44.25,44.75,-0.25,-0.56,44.50,44.75,2863392,128071.96
RS,17.80,17.90,17.40,17.60,0.00,0.00,17.60,17.70,10448388,184416.91
SAWAD,53.00,54.75,53.00,53.75,+1.00,+1.90,53.50,53.75,12134372,653338.18
SCB,113.50,115.00,113.00,115.00,+2.50,+2.22,114.50,115.00,21217184,2414873.14
SCC,365.00,373.00,365.00,370.00,+10.00,+2.78,370.00,371.00,7375654,2729779.07
SCGP,55.25,56.00,55.25,55.25,-0.50,-0.90,55.25,55.50,3283246,181975.57
SINGER,57.25,57.75,56.75,57.50,-0.25,-0.43,57.25,57.50,1447994,82976.02
SIRI,1.16,1.17,1.15,1.17,0.00,0.00,1.16,1.17,63883217,74252.17
SPALI,21.80,22.00,21.80,21.90,+0.10,+0.46,21.90,22.00,2614806,57326.96
SPRC,10.70,10.80,10.60,10.80,+0.10,+0.93,10.70,10.80,24726270,265240.16
STA,24.60,25.25,24.60,25.25,+0.65,+2.64,25.00,25.25,6190534,154968.71
STARK,4.68,4.76,4.64,4.70,+0.02,+0.43,4.70,4.72,46109757,217122.32
STEC,13.10,13.30,12.90,13.00,0.00,0.00,13.00,13.10,6747811,88483.09
STGT,24.20,24.40,24.10,24.30,+0.10,+0.41,24.20,24.30,4434451,107587.03
SUPER,0.88,0.89,0.87,0.87,-0.01,-1.14,0.87,0.88,106326660,93251.26
SYNEX,24.50,24.70,24.20,24.20,-0.30,-1.22,24.20,24.30,2316481,56451.96
TASCO,16.30,16.40,16.20,16.30,0.00,0.00,16.20,16.30,1887010,30752.87
TCAP,40.00,40.50,39.75,40.25,+0.50,+1.26,40.25,40.50,3368741,135386.17
THANI,4.44,4.44,4.36,4.38,-0.04,-0.90,4.38,4.40,6339271,27821.03
TIDLOR,36.00,37.00,36.00,36.75,+1.00,+2.80,36.75,37.00,17917787,654807.86
TISCO,90.00,91.75,90.00,90.75,-8.75,-8.79,90.75,91.00,13931080,1266121.07
TOP,56.00,57.00,55.75,56.50,+0.75,+1.35,56.50,56.75,15794893,894861.00
TQM,48.00,49.75,47.50,49.75,+1.75,+3.65,49.50,49.75,11850779,579834.89
TRUE,4.82,4.84,4.82,4.82,0.00,0.00,4.82,4.84,26275845,126865.40
TTA,9.70,9.75,9.60,9.70,-0.10,-1.02,9.70,9.75,11767387,113994.84
TTB,1.30,1.31,1.29,1.30,+0.01,+0.78,1.30,1.31,224438601,291863.06
TU,17.00,17.00,16.80,16.90,0.00,0.00,16.90,17.00,11919693,201558.71
TVO,32.25,32.50,32.00,32.25,+0.25,+0.78,32.00,32.50,1731584,55817.50
VGI,4.98,5.00,4.96,4.96,-0.02,-0.40,4.94,4.96,15787062,78494.80
WHA,3.36,3.40,3.34,3.36,+0.02,+0.60,3.36,3.38,31039960,104837.95
