name,market,price,max_price,min_price,pe,pbv,paid_up,market_cap,daily_volume,beta,ticker_id,created_at,updated_at
BCH,SET100 / SETWB,19.0,26.75,17.7,5.54,3.16,999.99,47381.21,429714.3,0.81,55,2022-05-27,2022-05-27
BCP,SET100 / SETCLMV / SETTHSI,32.25,35.25,22.6,4.52,0.75,999.99,44405.77,565495.48,3.12,56,2022-05-27,2022-05-27
BCPG,SET100 / SETCLMV / SETHD / SETTHSI,11.8,15.4,11.1,11.98,1.19,999.99,34150.35,93708.28,0.47,57,2022-05-27,2022-05-27
BCT,SET,50.0,59.0,43.0,3.61,0.63,999.99,15000.0,309.48,10.34,706,2022-05-27,2022-05-27
BDMS,SET50 / SETCLMV / SETTHSI / SETWB,25.5,27.75,21.3,40.36,4.64,999.99,405246.05,1842432.87,0.22,58,2022-05-27,2022-05-27
BEAUTY,SET,1.41,1.98,1.31,0.0,5.48,999.99,4221.81,5264.12,0.0,59,2022-05-27,2022-05-27
BEC,SET100,15.3,17.9,10.7,38.41,4.82,999.99,30600.0,137605.89,0.09,60,2022-05-27,2022-05-27
BEM,SET50 / SETTHSI / SETWB,9.1,9.25,7.55,133.63,3.64,999.99,139093.5,316884.42,0.02,61,2022-05-27,2022-05-27
BFIT,SET,31.75,45.75,24.5,25.05,1.78,999.99,17502.1,97198.86,0.17,62,2022-05-27,2022-05-27
BGC,sSET / SETCLMV / SETTHSI,10.6,13.1,9.75,13.2,1.64,999.99,7361.11,22062.91,0.31,646,2022-05-27,2022-05-27
BGRIM,SET50 / SETCLMV / SETTHSI,33.5,46.5,29.75,51.74,2.85,999.99,87331.15,313623.41,-0.03,63,2022-05-27,2022-05-27
BH,SET50 / SETCLMV / SETWB,171.5,176.0,116.5,73.79,7.59,999.99,136322.9,500665.4,0.91,65,2022-05-27,2022-05-27
BJC,SETCLMV / SETTHSI / SETWB,35.25,37.5,29.25,37.0,1.2,999.99,141274.83,205797.38,0.31,68,2022-05-27,2022-05-27
BKI,SET,268.0,293.0,263.0,0.0,0.93,999.99,28533.96,3459.74,-33.63,71,2022-05-27,2022-05-27
BLA,SET100 / SETTHSI,37.75,48.0,24.7,21.44,1.38,999.99,64460.62,215878.57,0.47,73,2022-05-27,2022-05-27
BLAND,SET,0.98,1.19,0.94,0.0,0.39,999.99,17026.91,5968.72,-0.03,74,2022-05-27,2022-05-27
BPP,SET100 / SETCLMV / SETHD / SETTHSI,15.9,20.3,15.3,9.67,1.0,999.99,48458.93,23384.08,0.96,78,2022-05-27,2022-05-27
BTS,SET50 / SETTHSI / SETWB,8.75,10.2,8.3,24.54,1.86,999.99,115216.59,256374.5,0.23,86,2022-05-27,2022-05-27
BTSGIF,SET,4.3,5.1,3.76,0.0,0.55,999.99,24888.4,6059.82,0.0,87,2022-05-27,2022-05-27
CBG,SET50 / SETCLMV / SETWB,108.5,156.0,96.75,38.19,10.0,999.99,108500.0,764911.75,0.66,90,2022-05-27,2022-05-27
CENTEL,SET100 / SETTHSI / SETWB,41.0,46.5,26.75,0.0,3.07,999.99,55350.0,116948.27,-0.03,94,2022-05-27,2022-05-27
CHG,SET100 / SETWB,3.6,4.44,3.08,7.46,4.44,999.99,39600.0,190263.34,0.12,101,2022-05-27,2022-05-27
CK,SET100 / SETCLMV / SETTHSI,21.3,23.7,17.4,43.1,1.37,999.99,36080.0,118844.46,0.07,109,2022-05-27,2022-05-27
CKP,SET100 / SETCLMV / SETTHSI,5.55,6.3,4.7,21.45,1.8,999.99,45118.07,54907.84,0.0,110,2022-05-27,2022-05-27
