SET,SPI,1682271,3164957,2595281,2270718,2305575,3164957
SET,SPRIME,0,0,0,-102864,477576,477576
SET,SQ,0,0,0,1114,240988,240988
SET,SRICHA,0,0,0,-48381,142245,142245
SET,SSP,0,339832,482027,545677,736294,736294
SET,SSSC,277813,200381,167661,118722,75433,277813
SET,STANLY,1270768,1658662,1977762,1997497,1061340,1997497
SET,STARK,-158548,-78749,-183646,123923,1608660,1608660
SET,SUC,1323023,1344125,1481785,1111992,845090,1481785
SET,SUN,0,117485,56404,-41879,192912,192912
SET,SUPEREIF,0,0,0,118650,678675,678675
SET,SUSCO,284782,222547,283680,388160,217655,388160
SET,SVH,1366598,1611456,1862086,2001400,1447400,2001400
SET,SVI,1602673,491324,802856,371690,686488,1602673
SET,SVOA,72705,188662,114433,123012,138879,188662
SET,TCCC,2305515,1932399,1331139,922294,1472325,2305515
SET,TFFIF,0,0,0,10054220,1266534,10054220
SET,TFG,1446801,1516041,645457,1439995,2563292,2563292
SET,TFMAMA,0,0,3404402,3943066,4090006,4090006
SET,THE,0,0,0,215505,-130572,215505
SET,THG,0,553836,347600,462387,62427,553836
SET,THRE,0,0,0,125129,222000,222000
SET,THREL,321748,435684,253467,194256,121435,435684
SET,TIF1,0,0,0,64750,53819,64750
SET,TIPCO,813638,702647,-30877,207667,481812,813638
SET,TIPH,1567617,1656070,1531162,1863193,2064875,2064875
SET,TK,429692,466942,407373,504480,367579,504480
SET,TKS,336602,335591,322841,386050,228960,386050
SET,TMT,908950,641038,405883,229946,537878,908950
SET,TNITY,159564,28070,68101,94219,130447,159564
SET,TNPC,24300,-12369,19608,-85469,2319,24300
SET,TNR,194152,121193,274147,100104,111431,274147
SET,TOA,0,1709912,1824882,2162476,2031165,2162476
SET,TOG,250366,183456,146027,132134,68781,250366
SET,TPIPL,-521314,-1259738,323781,1393525,1498152,1498152
SET,TPIPP,0,2591531,3698959,4606808,4505824,4606808
SET,TR,2325305,2127552,1576671,187209,89485,2325305
SET,TSE,617628,415759,173954,774584,421429,774584
SET,TSTH,214477,454561,-188181,47878,630549,630549
SET,TTA,-418291,588355,210016,562594,-1944599,588355
SET,TTCL,0,0,0,-206309,210262,210262
SET,TTLPF,0,0,0,332465,246627,332465
SET,TTW,2475559,2663248,2841927,3127907,2951464,3127907
SET,TVI,24955,32761,112096,113337,77901,113337
SET,TYCN,70156,188290,-35467,-997683,-321049,188290
SET,U,-314760,-1049394,-629909,1867354,-6610752,1867354
SET,UAC,29642,100393,139578,163878,271172,271172
SET,UOBKH,0,215998,170731,15926,239646,239646
SET,UPOIC,72195,-18339,14038,-3553,125099,125099
SET,UTP,191468,315264,777172,863127,1011424,1011424
